ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.994767,0.240097,0.847232,0.036824,0.139919,0.772348,0.449267,0.647154,0.866991,0.866045,0.951383,0.246536,0.270013,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35,13.1
0.149326,0.951209,0.833835,0.606454,0.390977,0.306289,0.788428,0.253371,0.357973,0.756916,0.661319,0.786563,0.734027,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34,13.5
0.027591,0.78278,0.648522,0.376875,0.836744,0.418375,0.991966,0.432992,0.981853,0.71919,0.31415,0.517835,0.968851,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,18.9
0.036372,0.014101,0.64237,0.80507,0.135833,0.844722,0.929499,0.199908,0.293324,0.497141,0.473896,0.38162,0.73458,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20
0.850137,0.21498,0.641196,0.820058,0.771754,0.73117,0.058732,0.644658,0.336351,0.789638,0.687668,0.480023,0.887283,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21
0.807119,0.400053,0.51378,0.447821,0.851718,0.05776,0.560038,0.951791,0.838847,0.693978,0.768664,0.688013,0.926396,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7
0.845013,0.129204,0.870495,0.421653,0.29632,0.667281,0.048151,0.897796,0.373185,0.09652,0.011519,0.456462,0.820821,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8
0.248495,0.625613,0.933648,0.379457,0.938623,0.358209,0.099156,0.066409,0.013782,0.201763,0.615626,0.813761,0.759893,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9
0.073162,0.473687,0.528891,0.173665,0.998635,0.341391,0.869467,0.706528,0.782497,0.567145,0.530583,0.827108,0.129094,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,26.6
0.343533,0.70352,0.401949,0.133005,0.946326,0.645816,0.271649,0.522916,0.678419,0.014189,0.016345,0.689129,0.744354,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25.3
0.673493,0.626084,0.921576,0.080899,0.996364,0.007622,0.670763,0.150164,0.82998,0.489961,0.496217,0.726376,0.088509,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7
0.799396,0.385474,0.989789,0.717439,0.270411,0.275715,0.582541,0.456939,0.070331,0.399924,0.887943,0.480391,0.671393,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,21.2
0.169648,0.994681,0.24272,0.967131,0.944943,0.226697,0.895895,0.672985,0.354624,0.590051,0.937792,0.258504,0.420319,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19.3
0.517253,0.444555,0.535351,0.861196,0.697777,0.882588,0.258865,0.06026,0.040095,0.160207,0.112859,0.28103,0.236544,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,20
0.617838,0.069074,0.203381,0.91137,0.245243,0.37043,0.307732,0.068481,0.313413,0.701879,0.082567,0.526922,0.108722,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6
0.866156,0.632619,0.674674,0.113992,0.291691,0.128491,0.779123,0.652429,0.448263,0.602741,0.543405,0.285561,0.836157,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14.4
0.097066,0.917486,0.947431,0.242534,0.407991,0.846441,0.416988,0.383955,0.130135,0.401668,0.209884,0.114907,0.909679,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,19.4
0.237345,0.945099,0.095314,0.909548,0.127002,0.095642,0.209508,0.787658,0.61208,0.135807,0.85497,0.663833,0.149816,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7
0.954172,0.29683,0.931113,0.642911,0.34967,0.751195,0.401461,0.75977,0.829101,0.44326,0.777409,0.589395,0.581099,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43,20.5
0.813373,0.416441,0.937042,0.485811,0.250341,0.292517,0.008374,0.210583,0.961014,0.289786,0.490429,0.460131,0.795217,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25
0.471033,0.804322,0.524891,0.126623,0.555807,0.07842,0.089747,0.089531,0.001973,0.416487,0.552675,0.128149,0.838603,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4
0.788248,0.853984,0.143624,0.446951,0.948179,0.082421,0.746528,0.51839,0.174344,0.470418,0.63064,0.041563,0.862984,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,18.9
0.778299,0.32086,0.524526,0.032126,0.83887,0.162085,0.914212,0.50314,0.639923,0.315059,0.726772,0.516385,0.064986,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4
0.32394,0.933097,0.536036,0.034993,0.671565,0.535315,0.283961,0.810791,0.667316,0.288455,0.554954,0.003502,0.836875,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,24.7
0.675825,0.712395,0.550647,0.012575,0.398329,0.992565,0.113168,0.942961,0.095884,0.055772,0.433875,0.699835,0.195661,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6
0.500576,0.977936,0.694814,0.094468,0.545908,0.460068,0.731725,0.909639,0.622278,0.956671,0.96142,0.914561,0.282194,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3
0.918923,0.157296,0.198644,0.314426,0.645095,0.789504,0.854061,0.367707,0.596608,0.084045,0.876663,0.140417,0.265011,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,19.6
0.209366,0.975174,0.989402,0.771869,0.059183,0.112177,0.163073,0.817928,0.493964,0.925883,0.406537,0.515889,0.628506,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7
0.307665,0.76043,0.573555,0.472084,0.014265,0.282811,0.708858,0.991228,0.305216,0.156037,0.385417,0.838187,0.763352,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16
0.86227,0.03829,0.326636,0.207526,0.139564,0.315858,0.803691,0.93421,0.362402,0.276038,0.905621,0.671942,0.638869,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2
0.968076,0.086025,0.440844,0.064397,0.815892,0.68535,0.237669,0.382678,0.157152,0.941984,0.650409,0.053986,0.484374,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,25
0.208397,0.606974,0.707586,0.218992,0.739977,0.626504,0.647361,0.127046,0.535754,0.762871,0.075482,0.651497,0.685398,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33
0.20669,0.108557,0.407978,0.194628,0.417074,0.538994,0.77099,0.698633,0.492959,0.93132,0.924712,0.369219,0.898726,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5
0.866174,0.241158,0.392823,0.296504,0.79103,0.440362,0.818281,0.861338,0.291763,0.343182,0.047394,0.747994,0.017132,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19.4
0.869768,0.099405,0.920451,0.439706,0.078775,0.392829,0.893246,0.896597,0.133523,0.524351,0.406014,0.775289,0.551765,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22
0.759274,0.935334,0.623739,0.492822,0.685775,0.463767,0.127768,0.384974,0.3387,0.153796,0.475485,0.20911,0.150851,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4
0.117924,0.560933,0.656311,0.831132,0.103215,0.162489,0.128714,0.276455,0.392512,0.740516,0.809238,0.267134,0.91281,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,20.9
0.017795,0.665632,0.341971,0.935844,0.256564,0.705774,0.701132,0.678198,0.251849,0.35718,0.551348,0.272717,0.600708,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
0.61444,0.068263,0.072915,0.580594,0.199242,0.129645,0.680017,0.152932,0.585501,0.273266,0.121797,0.079131,0.765599,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7
0.144456,0.796672,0.588667,0.919573,0.90442,0.855491,0.614393,0.255306,0.647502,0.818853,0.402731,0.684205,0.885211,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8
0.540949,0.941799,0.778307,0.853354,0.440871,0.099763,0.622307,0.253934,0.82689,0.04392,0.170434,0.614844,0.879241,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4
0.026584,0.822482,0.197255,0.779976,0.494207,0.497816,0.103736,0.395164,0.076571,0.131936,0.3243,0.922086,0.289689,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,24.1
0.744472,0.862844,0.571263,0.813086,0.772525,0.294067,0.847334,0.024953,0.81749,0.696849,0.752864,0.372877,0.529458,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,21.4
0.593338,0.102506,0.74325,0.923163,0.881502,0.801354,0.516721,0.942774,0.686718,0.348028,0.261405,0.448782,0.093937,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20
0.725913,0.907809,0.785159,0.06611,0.511427,0.905896,0.128294,0.351256,0.873846,0.805376,0.186647,0.68656,0.798579,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8
0.746863,0.172956,0.721654,0.579658,0.803932,0.704444,0.8148,0.096258,0.93898,0.703557,0.452315,0.610925,0.678846,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2
0.333999,0.294333,0.236041,0.448835,0.751117,0.153054,0.993508,0.380512,0.651318,0.960058,0.720652,0.622899,0.483597,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3
0.785445,0.020982,0.285882,0.597133,0.561982,0.840285,0.115478,0.81592,0.823669,0.560958,0.716564,0.660206,0.15932,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,28
0.26915,0.777924,0.352727,0.326723,0.170306,0.426566,0.225877,0.138127,0.061217,0.501921,0.661767,0.228571,0.732522,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22,23.9
0.394875,0.622311,0.115632,0.882656,0.68565,0.717638,0.299112,0.521908,0.17994,0.618004,0.396977,0.800526,0.095134,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8
0.139625,0.81749,0.371829,0.873154,0.25839,0.862029,0.583162,0.634093,0.091093,0.14939,0.203542,0.424574,0.348693,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51,22.9
0.304292,0.336435,0.652079,0.757988,0.865827,0.425958,0.273237,0.065659,0.674288,0.172753,0.496461,0.312063,0.205121,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,23.9
0.153006,0.969554,0.986924,0.68398,0.17648,0.546303,0.685957,0.866969,0.476505,0.828329,0.555001,0.848695,0.034602,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6
0.949869,0.195816,0.888962,0.761959,0.332644,0.482514,0.593699,0.637103,0.552825,0.486425,0.813383,0.88591,0.225876,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5
0.945104,0.460227,0.713213,0.150971,0.047985,0.467781,0.548533,0.104234,0.904055,0.316377,0.152425,0.824845,0.734534,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2
0.330522,0.911704,0.952068,0.548189,0.36006,0.131379,0.342135,0.790077,0.435471,0.885178,0.23577,0.22966,0.865777,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6
0.167315,0.184125,0.804773,0.774851,0.208395,0.840457,0.209367,0.81923,0.741313,0.582419,0.173175,0.7533,0.757702,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7
0.282948,0.697984,0.679188,0.652415,0.110831,0.681855,0.56297,0.296733,0.909222,0.361825,0.168428,0.921648,0.072859,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6
0.083171,0.303063,0.701801,0.931428,0.916472,0.311698,0.111645,0.846548,0.033889,0.609726,0.80626,0.439222,0.428917,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22
0.253521,0.50698,0.10586,0.451458,0.785997,0.629681,0.782653,0.576257,0.086179,0.266881,0.813215,0.126159,0.009856,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9
0.975965,0.57328,0.951382,0.792393,0.178451,0.444767,0.56105,0.968966,0.187634,0.457963,0.387489,0.896382,0.211162,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25
0.936919,0.963698,0.527061,0.973247,0.716328,0.555129,0.387572,0.894131,0.059052,0.160237,0.107456,0.727808,0.918949,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6
0.587883,0.208432,0.363304,0.493556,0.524112,0.802275,0.194787,0.830108,0.198483,0.961978,0.989239,0.4989,0.069803,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,28.4
0.848763,0.261079,0.336046,0.53868,0.338525,0.448199,0.269337,0.346877,0.400871,0.0368,0.400539,0.026481,0.521831,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,21.4
0.565288,0.729858,0.06275,0.578843,0.414192,0.555102,0.463731,0.327044,0.236946,0.743514,0.975809,0.359993,0.853438,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21,38.7
0.685163,0.282246,0.884516,0.151839,0.855413,0.657451,0.930871,0.537135,0.032977,0.720562,0.060592,0.552244,0.93566,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,43.8
0.534247,0.797843,0.876086,0.710827,0.880937,0.113786,0.359298,0.285547,0.279558,0.593749,0.53777,0.928352,0.696614,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19,33.2
0.407298,0.592939,0.385213,0.468345,0.983656,0.115741,0.159473,0.851318,0.21262,0.366964,0.324356,0.552511,0.034898,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,27.5
0.263056,0.905227,0.852697,0.8992,0.462351,0.465924,0.626106,0.768919,0.190925,0.676004,0.965181,0.682347,0.136472,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5
0.877537,0.250926,0.054465,0.248744,0.281474,0.263231,0.884816,0.585461,0.001093,0.610171,0.852172,0.586115,0.722566,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,18.6
0.781484,0.738373,0.309646,0.096631,0.232479,0.449382,0.951734,0.341517,0.085055,0.046993,0.849231,0.058625,0.892137,0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,19.3
0.528614,0.728138,0.657382,0.863655,0.423633,0.46631,0.692185,0.285838,0.059184,0.000621,0.859745,0.234394,0.030902,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33,20.1
0.823544,0.702904,0.986186,0.531984,0.883392,0.789806,0.981317,0.534877,0.604265,0.499893,0.914531,0.084677,0.7215,0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,19.5
0.216353,0.980522,0.740455,0.734795,0.616195,0.876646,0.239581,0.89451,0.598155,0.929964,0.132925,0.069268,0.109163,0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,19.5
0.051375,0.147752,0.189069,0.515113,0.561582,0.673254,0.454932,0.534835,0.157248,0.581116,0.79076,0.36171,0.829599,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20.4
0.169112,0.283637,0.552141,0.257167,0.26243,0.663783,0.199391,0.85737,0.389664,0.635996,0.260087,0.491927,0.3877,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,19.8
0.202439,0.200929,0.197292,0.655456,0.50234,0.910943,0.309649,0.722301,0.154977,0.825077,0.732523,0.064655,0.956139,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19.4
0.803576,0.878755,0.961585,0.752515,0.004026,0.387747,0.311133,0.263389,0.906991,0.119496,0.038723,0.873125,0.532663,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13,21.7
0.580523,0.854093,0.676379,0.48844,0.440215,0.382953,0.22585,0.158367,0.873914,0.787374,0.090271,0.490413,0.516747,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,22.8
0.126711,0.744743,0.588947,0.352847,0.368135,0.954858,0.691378,0.338627,0.932601,0.887817,0.228715,0.587224,0.224641,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8
0.18312,0.000321,0.427491,0.399164,0.302004,0.421399,0.828821,0.406158,0.760606,0.336657,0.22278,0.393447,0.013393,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7
0.487646,0.925263,0.857874,0.405173,0.451033,0.120475,0.700241,0.217226,0.323575,0.366903,0.634313,0.036988,0.307205,0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5
0.22359,0.540691,0.465575,0.472137,0.810784,0.110924,0.581862,0.227375,0.770019,0.88914,0.523177,0.899579,0.363965,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3
0.58094,0.798835,0.771482,0.024744,0.363078,0.866631,0.410936,0.853989,0.07657,0.593874,0.90015,0.614791,0.457817,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2
0.866043,0.43009,0.183504,0.478815,0.345307,0.145546,0.32608,0.680704,0.702075,0.837051,0.305665,0.184357,0.829313,0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2
0.834138,0.481057,0.897777,0.803965,0.547366,0.190552,0.069674,0.229242,0.377966,0.416585,0.403736,0.738254,0.233707,0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,20.4
0.644254,0.631366,0.215569,0.641474,0.708669,0.885719,0.434716,0.982308,0.46665,0.333474,0.469048,0.341645,0.83815,0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3
