CUSIP,Ticker,Issue Date,Maturity,1st Call Date,Moodys,S_and_P,Fitch,Bloomberg Composite Rating,Coupon,Issued Amount,Maturity Type,Coupon Type,Maturity At Issue months,Industry,LiquidityScore,Months in JNK,Months in HYG,Months in Both,IN_ETF,LIQ SCORE,n_trades,volume_trades,total_median_size,total_mean_size,n_days_trade,days_diff_max,percent_intra_dealer,percent_uncapped,bond_type,Client_Trade_Percentage,weekly_mean_volume,weekly_median_volume,weekly_max_volume,weekly_min_volume,weekly_mean_ntrades,weekly_median_ntrades
00101JAK2,ADT,5/5/2014,10/15/2021,Nan,Ba3,BB-,WD,BB-,6.25,999975000,AT MATURITY,FIXED,90.67,Commercial Services,30.16902685,39,38,38,Yes,0.301690268,12136,2439300050,30000,200997.0377,848,1142,0.369973632,0.912656559,1,0.247692815,13476795.86,11850000,48868000,25000,67.04972376,1
00101JAL0,ADT,3/19/2014,4/15/2019,Nan,WR,NR,WD,NR,4.13,500000000,AT MATURITY,FIXED,61.77,Commercial Services,26.94419055,0,26,0,Yes,0.269441906,9594,1486154000,25000,154904.5237,541,737,0.408380238,0.935376277,5,0.177298311,12702170.94,9945000,100527000,102000,82,6
00101NAB3,ADSWST,12/9/2013,10/1/2020,Nan,WR,NR,Nan,NR,8.25,550000000,CALLABLE,FIXED,82.93,Environmental Control,18.88418525,35,0,0,Yes,0.188841853,1480,722431000,425000,488129.0541,520,942,0.152702703,0.764189189,3,0.394594595,4721771.242,3930000,20798000,7000,9.673202614,1
00105DAD7,AESGEN,12/18/2013,12/18/2073,6/18/2019,Ba2,BB,BB /*-,BB,8.38,450000000,CALLABLE,VARIABLE,730.5,Electric,14.72951124,Nan,Nan,Nan,No,0.147295112,154,96467000,570000,626409.0909,97,1102,0.045454545,0.727272727,5,0.467532468,1358690.141,1000000,5310000,120000,2.169014085,1
00107TAA6,AES,6/25/2015,6/25/2022,6/25/2019,Nan,BB,BBB-,BB+,6,375000000,CALLABLE,FIXED,85.23,Electric,12.3530969,Nan,Nan,Nan,No,0.123530969,122,82362000,762500,675098.3607,80,768,0.032786885,0.62295082,4,0.672131148,1583884.615,1000000,8200000,200000,2.346153846,1
001306AB5,AHSCRP,5/7/2015,7/1/2045,Nan,Aa3,AA-,Nan,AA-,5.02,425000000,AT MATURITY,FIXED,367.1,Healthcare-Services,9.863061478,Nan,Nan,Nan,No,0.098630615,57,42840000,1000000,751578.9474,18,430,0.175438596,0.385964912,5,0.421052632,2677500,1000000,17680000,30000,3.5625,1
00130HAU9,AES,2/9/2001,2/15/2011,Nan,WR,NR,BB,NR,8.88,600000000,CALLABLE,FIXED,121.93,Electric,18.08004681,Nan,Nan,Nan,No,0.180800468,4,47000,13000,11750,2,0,0.5,1,5,0.5,47000,47000,47000,47000,4,4
00130HBC8,AES,2/13/2004,3/1/2014,Nan,WR,NR,WD,NR,7.75,500000000,AT MATURITY,FIXED,122.3,Electric,23.57442313,Nan,Nan,Nan,No,0.235744231,3286,571583250,25000,173944.9939,578,1068,0.455569081,0.903834449,5,0.282105904,3640657.643,2179000,30216000,2000,20.92993631,1
00130HBH7,AES,1/18/2008,10/15/2017,Nan,WR,NR,WD,NR,8,1500000000,AT MATURITY,FIXED,118.6,Electric,33.65180079,0,40,0,Yes,0.336518008,9762,1978487000,25000,202672.3008,1197,1972,0.360581848,0.905449703,1,0.311309158,6917786.713,6150000,29292000,4000,34.13286713,1
00130HBL8,AES,1/18/2008,10/15/2015,Nan,WR,NR,WD,NR,7.75,500000000,AT MATURITY,FIXED,94.23,Electric,26.0599051,0,19,0,Yes,0.260599051,3670,729000000,25000,198637.6022,792,1382,0.433242507,0.9,2,0.25640327,3406542.056,2451500,27207000,6000,17.14953271,1
00130HBN4,AES,5/20/2009,6/1/2020,Nan,Ba2,BB,BB,BB,8,625000000,AT MATURITY,FIXED,134.33,Electric,35.77206997,0,67,0,Yes,0.3577207,6738,1465237000,25000,217458.7415,1492,2214,0.353517364,0.884238646,1,0.416889285,4186391.429,3458000,18126000,87000,19.25142857,2
00130HBQ7,AES,4/2/2009,4/15/2016,Nan,WR,NR,NR,NR,9.75,535000000,AT MATURITY,FIXED,85.67,Electric,20.76608206,0,39,0,Yes,0.207660821,1459,584247000,200000,400443.4544,574,1426,0.305003427,0.768334476,5,0.361891707,2808879.808,2122500,14178000,8000,7.014423077,1
00130HBS3,AES,8/1/2012,7/1/2021,6/1/2021,Ba2,BB,BB,BB,7.38,999500000,CALLABLE,FIXED,108.53,Electric,29.70656778,60,59,59,Yes,0.297065678,5078,2032802000,220000,400315.4785,1141,1777,0.309373769,0.791453328,1,0.363135093,7585082.09,6374500,30366000,5000,18.94776119,1
00130HBT1,AES,4/30/2013,5/15/2023,5/15/2018,Ba2,BB,BB,BB,4.88,750000000,CALLABLE,FIXED,122.23,Electric,28.88993355,47,51,47,Yes,0.288899335,5824,1644055000,50000,282289.6635,991,1546,0.340487637,0.852678571,1,0.244677198,7117121.212,5446000,97500000,60000,25.21212121,2
00130HBU8,AES,3/7/2014,3/15/2024,3/15/2019,Ba2,BB,BB,BB,5.5,750000000,CALLABLE,FIXED,122.03,Electric,25.98555729,17,40,17,Yes,0.259855573,4764,1432967000,50000,300790.7221,824,1184,0.354534005,0.835642317,1,0.324307305,7704123.656,5978000,116644000,140000,25.61290323,1
00130HBV6,AES,5/20/2014,6/1/2019,9/27/2017,Ba2,BB,BB,BB,4.32,775000000,CALLABLE,FLOATING,61.27,Electric,22.84305281,Nan,Nan,Nan,No,0.228430528,3059,845168000,100000,276288.9833,633,1169,0.255312194,0.869892122,5,0.347172279,4885364.162,2535000,54069000,25000,17.68208092,1
00130HBW4,AES,4/6/2015,4/15/2025,4/15/2020,Ba2,BB,BB,BB,5.5,575000000,CALLABLE,FIXED,122.07,Electric,21.05886632,3,27,3,Yes,0.210588663,2647,777293000,50000,293650.5478,557,861,0.324896109,0.830374008,1,0.363808085,5979176.923,4452000,51280000,80000,20.36153846,2
00130HBX2,AES,5/25/2016,5/15/2026,5/15/2021,Ba2,BB,BB,BB,6,500000000,CALLABLE,FIXED,121.4,Electric,16.47761872,3,14,3,Yes,0.164776187,949,397148000,250000,418491.0432,272,455,0.292939937,0.765015806,1,0.323498419,5515944.444,4112500,56750000,63000,13.18055556,1
00130HBY0,AES,8/28/2017,9/1/2027,9/1/2022,Ba2,BB,BB,BB,5.13,500000000,CALLABLE,FIXED,121.87,Electric,14.76113009,Nan,Nan,Nan,No,0.147611301,162,73245000,257500,452129.6296,25,35,0.203703704,0.796296296,3,0.432098765,12207500,6586000,46412000,2080000,27,6
00131MAE3,AIA,3/16/2016,3/16/2046,9/16/2045,A2,A,Nan,A,4.5,750000000,CALLABLE,FIXED,365.23,Insurance,11.48359688,Nan,Nan,Nan,No,0.114835969,90,67395000,1000000,748833.3333,46,408,0.111111111,0.555555556,5,0.5,2106093.75,1000000,18235000,270000,2.8125,1
001546AL4,AKS,5/11/2010,5/15/2020,Nan,WR,NR,Nan,NR,7.63,550000000,CALLABLE,FIXED,121.9,Iron/Steel,51.06854893,28,52,28,Yes,0.510685489,43655,5686339495,24000,130256.3165,1587,2213,0.495521704,0.948047188,1,0.214431337,17127528.6,13709000,91226000,143000,131.4909639,7
001546AR1,AKS,8/28/2013,12/1/2018,Nan,WR,NR,Nan,NR,8.75,380000000,CALLABLE,FIXED,64.03,Iron/Steel,20.0502632,Nan,Nan,Nan,No,0.200502632,2013,689011000,100000,342280.6756,485,863,0.368604074,0.81420765,4,0.265275708,4624234.899,3060000,24045000,10000,13.51006711,1
001546AS9,AKS,9/16/2014,10/1/2021,10/23/2017,B3,B-,Nan,B-,7.63,430000000,CALLABLE,FIXED,85.73,Iron/Steel,26.83194421,0,34,0,Yes,0.268319442,6432,2277354000,150000,354066.2313,677,1039,0.506685323,0.821983831,2,0.217661692,14322981.13,9871000,72284000,115000,40.45283019,1
001546AT7,AKS,6/20/2016,7/15/2023,7/15/2019,B1,BB-,Nan,B+,7.5,380000000,CALLABLE,FIXED,86.03,Iron/Steel,15.63981163,Nan,Nan,Nan,No,0.156398116,1035,442411000,200000,427450.2415,263,398,0.292753623,0.727536232,4,0.401932367,6603149.254,3741000,64720000,4000,15.44776119,1
001546AU4,AKS,3/23/2017,3/15/2027,3/15/2022,B3,B-,Nan,B-,7,400000000,CALLABLE,FIXED,121.47,Iron/Steel,18.36453824,0,4,0,Yes,0.183645382,1496,530757000,100000,354784.0909,125,164,0.465240642,0.78342246,2,0.163101604,18955607.14,11849500,75976000,1465000,53.42857143,3
00163UAB2,AMAG,8/17/2015,9/1/2023,9/1/2018,Ba3,BB-,Nan,BB-,7.88,500000000,CALLABLE,FIXED,97.9,Biotechnology,16.2234935,24,0,0,Yes,0.162234935,984,684743000,1000000,695877.0325,306,712,0.183943089,0.585365854,3,0.413617886,6647990.291,4000000,81745000,275000,9.553398058,1
00164VAB9,AMCX,7/9/2012,7/15/2021,Nan,WR,NR,Nan,NR,7.75,700000000,CALLABLE,FIXED,109.77,Media,22.07866873,44,39,38,Yes,0.220786687,2240,975354000,250000,435425.8929,675,1399,0.23125,0.777678571,1,0.373214286,4852507.463,3782000,27218000,10000,11.14427861,1
00164VAC7,AMCX,12/17/2012,12/15/2022,12/15/2017,Ba3,BB,Nan,BB-,4.75,600000000,CALLABLE,FIXED,121.67,Media,28.62113747,56,55,55,Yes,0.286211375,4329,1520306000,109000,351191.0372,1016,1688,0.31000231,0.818895819,1,0.317856318,6105646.586,5004000,134530000,20000,17.38554217,1
00164VAD5,AMCX,3/30/2016,4/1/2024,4/1/2020,Ba3,BB,Nan,BB-,5,1000000000,CALLABLE,FIXED,97.47,Media,19.80586642,17,16,16,Yes,0.198058664,2302,908282000,200000,394562.1199,359,471,0.33840139,0.797567333,1,0.294526499,11497240.51,9141000,82845000,1238000,29.13924051,5
00164VAE3,AMCX,7/28/2017,8/1/2025,8/1/2021,Ba3,BB,Nan,BB-,4.75,800000000,CALLABLE,FIXED,97.53,Media,17.64013904,1,0,0,Yes,0.17640139,629,308655000,355000,490707.4722,43,59,0.278219396,0.704292528,3,0.359300477,30865500,16293000,125313000,795000,62.9,20
00165AAB4,AMC,8/27/2009,6/1/2019,Nan,WR,NR,WD,NR,8.75,600000000,CALLABLE,FIXED,118.83,Entertainment,21.69770999,14,26,14,Yes,0.2169771,2467,801703000,50000,324970.8148,654,1045,0.314552088,0.824483178,1,0.336441021,4688321.637,3813000,23420000,6000,14.42690058,1
00165AAD0,AMC,7/29/2011,12/1/2020,Nan,WR,NR,CCC+u,NR,9.75,600000000,CALLABLE,FIXED,113.77,Entertainment,22.99157183,41,37,37,Yes,0.229915718,2467,1067778000,250000,432824.4832,689,1491,0.262667207,0.784758816,3,0.357113904,5013042.254,3778000,33967000,14000,11.58215962,1
00165AAF5,AMC,5/9/2014,2/15/2022,10/23/2017,B2,B+,CCC+u,B,5.88,375000000,CALLABLE,FIXED,94.63,Entertainment,18.88822613,Nan,Nan,Nan,No,0.188882261,1281,631304500,415000,492821.6237,488,1143,0.238095238,0.720530835,4,0.347384856,3757764.881,3114000,32801000,8000,7.625,1
00165AAG3,AMC,6/5/2015,6/15/2025,Nan,B2,B+,CCC+u,B,5.75,600000000,CALLABLE,EXCHANGED,122.1,Entertainment,14.06532232,1,0,0,Yes,0.140653223,192,155849000,1000000,811713.5417,25,51,0.302083333,0.494791667,3,0.463541667,19481125,6187000,107220000,4050000,24,7
00165AAH1,AMC,7/27/2015,6/15/2025,6/15/2020,B2,B+,CCC+u,B,5.75,600000000,CALLABLE,FIXED,120.37,Entertainment,19.05103892,25,7,7,Yes,0.190510389,1838,734085000,200000,399393.3624,467,707,0.261153428,0.799782372,1,0.331338411,6383347.826,5283000,27673000,10000,15.9826087,1
00165CAA2,AMC,11/8/2016,11/15/2026,Nan,B2,B+,CCC+u,B,5.88,595000000,CALLABLE,EXCHANGED,121.97,Entertainment,14.0164498,9,9,8,Yes,0.140164498,603,402880000,1000000,668126.0365,142,223,0.150912106,0.587064677,1,0.466003317,11191111.11,6844500,92250000,575000,16.75,1
00165CAB0,AMC,7/6/2017,11/15/2026,11/15/2021,B2,B+,CCC+,B-,5.88,595000000,CALLABLE,FIXED,113.97,Entertainment,11.08117453,1,0,0,Yes,0.110811745,280,217210000,1000000,775750,49,59,0.132142857,0.357142857,3,0.446428571,18100833.33,16722500,41835000,2000000,23.33333333,2
00165CAC8,AMC,3/17/2017,5/15/2027,Nan,B2,NR,CCC+u,NR,6.13,475000000,CALLABLE,EXCHANGED,123.7,Entertainment,13.15389584,0,4,0,Yes,0.131538958,281,213178000,1000000,758640.5694,65,100,0.138790036,0.558718861,2,0.483985765,12539882.35,7809000,89293000,2100000,16.52941176,4
00165CAD6,AMC,7/6/2017,5/15/2027,5/15/2022,B2,B+,CCC+,B-,6.13,475000000,CALLABLE,FIXED,120,Entertainment,13.60417518,Nan,Nan,Nan,No,0.136041752,311,176970000,1000000,569035.3698,48,51,0.250803859,0.562700965,5,0.337620579,16088181.82,11321000,58041000,2000000,28.27272727,2
00182FAF3,ANZNZ,7/16/2008,7/19/2013,Nan,WR,NR,NR,NR,6.2,2000000000,AT MATURITY,FIXED,60.97,Banks,14.50953947,Nan,Nan,Nan,No,0.145095395,265,105502000,150000,398120.7547,142,787,0.230188679,0.754716981,5,0.437735849,1146760.87,828500,6060000,15000,2.880434783,1
00182FAM8,ANZNZ,8/2/2012,10/15/2015,Nan,WR,NR,NR,NR,1.85,750000000,AT MATURITY,FIXED,38.97,Banks,8.459320134,Nan,Nan,Nan,No,0.084593201,13,9900000,1000000,761538.4615,3,1,0.076923077,0.384615385,5,0.461538462,4950000,4950000,7400000,2500000,6.5,4
00182FAV8,ANZNZ,9/23/2014,9/23/2019,Nan,A1,AA-,AA-,A+,2.6,500000000,AT MATURITY,FIXED,60.87,Banks,13.94788549,Nan,Nan,Nan,No,0.139478855,167,98170000,500000,587844.3114,112,836,0.089820359,0.718562874,5,0.532934132,1291710.526,1000000,5350000,60000,2.197368421,1
00182FAW6,ANZNZ,3/31/2015,3/29/2018,Nan,A1,AA-,AA-,A+,1.75,750000000,AT MATURITY,FIXED,36.47,Banks,12.34652048,Nan,Nan,Nan,No,0.123465205,69,56543000,1000000,819463.7681,39,671,0.101449275,0.565217391,5,0.47826087,1949758.621,1000000,11300000,200000,2.379310345,1
00182FAX4,ANZNZ,8/6/2015,8/6/2020,Nan,A1,AA-,AA-,A+,2.85,750000000,AT MATURITY,FIXED,60.9,Banks,12.13892567,Nan,Nan,Nan,No,0.121389257,32,24287000,1000000,758968.75,24,667,0.125,0.5625,5,0.4375,1278263.158,1000000,4550000,250000,1.684210526,1
00182FAY2,ANZNZ,2/3/2016,2/1/2019,Nan,A1,AA-,AA-,A+,2.25,750000000,AT MATURITY,FIXED,36.47,Banks,13.38893184,Nan,Nan,Nan,No,0.133889318,36,22920000,500000,636666.6667,26,461,0.138888889,0.75,5,0.305555556,1091428.571,700000,5200000,200000,1.714285714,1
00182FAZ9,ANZNZ,2/3/2016,2/3/2021,Nan,A1,AA-,AA-,A+,2.75,500000000,AT MATURITY,FIXED,60.9,Banks,10.13713039,Nan,Nan,Nan,No,0.101371304,66,54147000,1000000,820409.0909,36,485,0.106060606,0.424242424,5,0.5,2256125,1200000,16650000,20000,2.75,1
00182FBA3,ANZNZ,7/28/2016,7/28/2021,Nan,A1,AA-,AA-,A+,2.13,750000000,AT MATURITY,FIXED,60.87,Banks,11.67342084,Nan,Nan,Nan,No,0.116734208,97,67820000,1000000,699175.2577,50,343,0.134020619,0.577319588,5,0.515463918,2338620.69,1200000,15250000,90000,3.344827586,1
00182FBC9,ANZNZ,1/25/2017,1/25/2022,Nan,A1,AA-,AA-,A+,2.88,700000000,AT MATURITY,FIXED,60.87,Banks,10.21983881,Nan,Nan,Nan,No,0.102198388,54,45950000,1000000,850925.9259,33,84,0.111111111,0.518518519,5,0.5,2702941.176,2000000,11600000,200000,3.176470588,1
00182FBE5,ANZNZ,7/18/2017,7/17/2020,Nan,A1,AA-,AA-,A+,2.2,500000000,AT MATURITY,FIXED,36.5,Banks,14.74966337,Nan,Nan,Nan,No,0.147496634,27,21540000,1000000,797777.7778,9,47,0.37037037,0.703703704,5,0.407407407,4308000,2000000,14640000,1000000,5.4,1
00182FBF2,ANZNZ,7/18/2017,7/17/2027,Nan,A1,AA-,AA-,A+,3.45,500000000,AT MATURITY,FIXED,121.7,Banks,6.958454153,Nan,Nan,Nan,No,0.069584542,20,17750000,1000000,887500,12,69,0.05,0.25,5,0.5,2958333.333,2500000,6500000,1000000,3.333333333,1
00182VAB7,ANZNZ,8/6/2009,8/5/2011,Nan,WR,NR,AA+,NR,0.45,500000000,AT MATURITY,FLOATING,24.3,Banks,18.67447239,Nan,Nan,Nan,No,0.186744724,1,1000000,1000000,1000000,1,0,0,1,5,0,1000000,1000000,1000000,1000000,1,1
00191AAB2,ARGID,9/16/2016,9/15/2023,9/15/2019,Caa2,B-,Nan,CCC+,7.13,770000000,CALLABLE,PAY-IN-KIND,85.17,Packaging Containers,15.70831888,8,0,0,Yes,0.157083189,761,603014000,1000000,792396.8463,143,217,0.253613666,0.492772668,3,0.387647832,16750388.89,9724000,227540000,900000,21.13888889,3
00191AAC0,ARGID,5/11/2017,9/15/2023,9/15/2019,Caa2,B-,Nan,CCC+,7.13,768778000,CALLABLE,PAY-IN-KIND,77.27,Packaging Containers,12.29020601,3,0,0,Yes,0.12290206,216,152883000,1000000,707791.6667,70,105,0.199074074,0.546296296,3,0.365740741,8046473.684,7123000,18768000,1600000,11.36842105,4
00202BAC5,APPGF,9/18/1995,10/1/2005,Nan,WR,NR,Nan,NR,11.75,450000000,AT MATURITY,DEFAULTED,122.2,Diversified Finan Serv,24.08022205,Nan,Nan,Nan,No,0.240802221,466,42605000,20000,91427.03863,218,2122,0.373390558,0.980686695,5,0.491416309,259786.5854,50000,7650000,1000,2.841463415,1
00202RAB2,APPGF,8/18/1997,2/15/2004,Nan,WR,NR,Nan,NR,12,375000000,AT MATURITY,DEFAULTED,79.07,Forest Products Paper,20.31651916,Nan,Nan,Nan,No,0.203165192,156,30625000,60000,196314.1026,67,1719,0.33974359,0.91025641,4,0.435897436,546875,135000,6000000,5000,2.785714286,1
00202VAB3,APPGF,3/16/1999,10/4/2001,Nan,WR,Nan,Nan,NR,8.64,370500000,AT MATURITY,DEFAULTED,31.1,Forest Products Paper,20.43128389,Nan,Nan,Nan,No,0.204312839,46,8551000,115000,185891.3043,25,1693,0.304347826,0.934782609,4,0.47826087,342040,100000,3000000,13000,1.84,1
00208JAC2,ATPG,4/23/2010,5/1/2015,Nan,WR,NR,Nan,NR,11.88,1500000000,CALLABLE,DEFAULTED,61.13,Oil Gas,14.59963913,Nan,Nan,Nan,No,0.145996391,5,260000,50000,52000,5,32,0,1,5,1,52000,50000,100000,10000,1,1
00208JAE8,ATPG,1/18/2011,5/1/2015,Nan,WR,NR,Nan,NR,11.88,1498170000,CALLABLE,DEFAULTED,52.13,Oil Gas,50.31035883,8,9,8,Yes,0.503103588,37381,8979960500,50000,240227.9367,1264,2341,0.529680854,0.89973516,3,0.180385757,27630647.69,7245000,301245000,8000,115.0184615,1
00213MAB0,APXSEC,10/24/2013,12/1/2019,10/23/2017,B1,B-,Nan,B,6.38,925000000,CALLABLE,FIXED,74.3,Commercial Services,24.78054692,42,45,41,Yes,0.247805469,4138,1502405000,150000,363075.1571,793,1181,0.3479942,0.814644756,1,0.254470759,7825026.042,6954500,24165000,85000,21.55208333,1
00213MAD6,APXSEC,10/24/2013,12/1/2020,10/23/2017,Caa2,CCC,Nan,CCC,8.75,930000000,CALLABLE,FIXED,86.5,Commercial Services,22.56078888,46,45,45,Yes,0.225607889,3203,1791594000,500000,559348.7356,728,1259,0.297221355,0.646893537,1,0.307836403,9282870.466,7396000,56753000,45000,16.59585492,1
00213MAJ3,APXSEC,5/26/2016,12/1/2022,Nan,B1,B-,Nan,B,7.88,500000000,CALLABLE,EXCHANGED,79.33,Commercial Services,11.24942591,3,3,2,Yes,0.112494259,90,58267000,600000,647411.1111,34,59,0.211111111,0.611111111,1,0.411111111,4855583.333,3615000,14628000,625000,7.5,1
00213MAK0,APXSEC,8/5/2016,12/1/2022,12/1/2018,B1,B-,Nan,B,7.88,900000000,CALLABLE,FIXED,76.97,Commercial Services,15.61524474,12,11,11,Yes,0.156152447,642,306662000,317500,477666.6667,208,398,0.333333333,0.742990654,1,0.300623053,5287275.862,4414000,14941000,135000,11.06896552,1
00213MAR5,APXSEC,8/10/2017,9/1/2023,9/1/2019,Caa2,CCC,Nan,CCC,7.63,400000000,CALLABLE,FIXED,73.77,Commercial Services,10.29193965,Nan,Nan,Nan,No,0.102919397,96,70695000,1000000,736406.25,21,41,0.104166667,0.510416667,5,0.489583333,7855000,2125000,35900000,165000,10.66666667,1
00213UAA4,ALIANT,12/20/2012,12/15/2020,Nan,WR,NR,Nan,NR,7.88,450000000,CALLABLE,FIXED,97.23,Insurance,11.32995566,Nan,Nan,Nan,No,0.113299557,162,88926000,500000,548925.9259,96,309,0.030864198,0.685185185,5,0.456790123,1852625,1190000,10695000,15000,3.375,1
00214TAA6,ATD,2/25/2015,3/1/2022,3/1/2018,Caa2,CCC+,Nan,CCC,10.25,975000000,CALLABLE,FIXED,85.37,Distribution/Wholesale,15.89761735,30,0,0,Yes,0.158976174,966,682758000,1000000,706788.8199,344,871,0.139751553,0.574534161,3,0.425465839,5376047.244,4028000,27500000,10000,7.606299213,1
00215JAA7,AIRM,4/21/2017,5/15/2025,5/15/2020,Caa1,CCC+,Nan,CCC+,8,500000000,CALLABLE,FIXED,98.2,Diversified Finan Serv,10.91524883,4,0,0,Yes,0.109152488,265,197286000,1000000,744475.4717,73,137,0.113207547,0.471698113,3,0.449056604,8967545.455,7337500,33408000,150000,12.04545455,1
00234PAH5,AVHI,5/18/2017,5/15/2022,Nan,B3,B-,Nan,B-,6.63,400000000,CALLABLE,EXCHANGED,60.77,Home Builders,12.42155673,Nan,Nan,Nan,No,0.124215567,176,117315000,1000000,666562.5,39,78,0.096590909,0.647727273,5,0.454545455,7821000,2970000,43750000,100000,11.73333333,1
00234PAK8,AVHI,8/1/2017,5/15/2022,5/15/2019,B3,B-,Nan,B-,6.63,400000000,CALLABLE,FIXED,58.27,Home Builders,10.08017008,Nan,Nan,Nan,No,0.100801701,57,31660000,420000,555438.5965,22,44,0.122807018,0.631578947,5,0.385964912,3957500,3400000,7600000,210000,7.125,1
002447AA8,AWAS,10/18/2010,10/17/2016,Nan,WR,NR,Nan,NR,7,600000000,CALL/SINK,FIXED,73.03,Trucking Leasing,11.83061076,Nan,Nan,Nan,No,0.118306108,166,99146604.36,662200,597268.701,77,398,0.114457831,0.638554217,3,0.487951807,2253331.917,1803380,8997296,7952,3.772727273,1
00254EKX9,SEK,7/13/2011,7/13/2016,Nan,WR,NR,Nan,NR,2.13,1000000000,AT MATURITY,FIXED,60.9,Sovereign,11.29700577,Nan,Nan,Nan,No,0.112970058,91,39920000,250000,438681.3187,37,98,0.098901099,0.747252747,5,0.406593407,2348235.294,1500000,6720000,110000,5.352941176,1
00279HYP5,ABBEY,6/10/2011,6/10/2013,Nan,Nan,NR,Nan,NR,1.63,550000000,AT MATURITY,FLOATING,24.37,Banks,10.76240211,Nan,Nan,Nan,No,0.107624021,74,60430000,1000000,816621.6216,33,302,0.22972973,0.445945946,5,0.310810811,2627391.304,2225000,10000000,200000,3.217391304,1
00287YAG4,ABBV,8/5/2013,11/6/2015,Nan,WR,NR,Nan,NR,1.2,3499908000,AT MATURITY,FIXED,27.43,Pharmaceuticals,8.898329334,Nan,Nan,Nan,No,0.088983293,6,5300000,1000000,883333.3333,3,8,0,0.5,5,0.333333333,2650000,2650000,4300000,1000000,3,1
